question,context,options,consensus,implied_comment
Should I buy this dress?,"Two friends shopping together, the one asking is smiling and holding up the dress against themselves, showing excitement.","A. You always say this color doesn't suit me. 
B. If you all like it, I'll buy it and share a discount code. 
C. You should buy it because it looks great on you. 
D. I want your opinion on purchasing this dress 
E. You shouldn't spend so much money on such a trivial item.",D,You should buy it because it looks great on you.
Have you set a reminder for the dentist's appointment?,A person asks their partner after noticing they forgot a previous important event and the partner insisted they wouldn't forget again.,"A. I'm proud of you for being responsible! 
B. I want to know if you have set a reminder for the dentist's appointment 
C. I need to know that you're organized and on top of your schedule. 
D. I don't really care if you miss it. 
E. I doubt you remembered to set a reminder.",C,I doubt you remembered to set a reminder.
Can you help me set up this tent?,"With a patronizing tone, a leader of a scouting group asks a member who frequently fails at tasks.","A. You're completely inept at this. 
B. I don't think you can do it alone. 
C. You did great work with the knots, congratulations! 
D. Please assist me in setting up this tent 
E. Refusing to help won't end well for you.",B,You're completely inept at this.
Is it your turn to do the dishes?,"Roommates are in the kitchen, with one of them pointing at a chore chart while speaking with a skeptical tone.","A. I want to know if you are supposed to do the dishes now 
B. You're trying to avoid doing your agreed chore. 
C. I'm proud of you for taking initiative at doing chores. 
D. I believe it's actually your turn, not mine. 
E. I neglected my responsibility, sorry about the mess.",B,"I believe it's actually your turn, not mine."
Have you seen my sunglasses?,"A person asks their partner in an accusatory tone, after noticing their partner is wearing similar-looking sunglasses.","A. I think you took them without asking again. 
B. I want to know the location of my sunglasses 
C. You better not have lost or broken them, or there will be consequences. 
D. You're wearing my sunglasses. 
E. Congratulations on winning the trophy!",A,You're wearing my sunglasses.
"If you see John, could you give him this note?","A team manager asks one of the team members, after announcing John’s promotion during a team meeting.","A. It won't matter because he never pays attention to notes. 
B. Please give John this note if you see him 
C. Congratulations to John on his promotion! 
D. You can do this; I believe in your capability. 
E. I'm too busy for conversation right now.",B,Congratulations to John on his promotion!
How's your project coming along?,"In a derisive tone, a coworker asks during a meeting where poorly executed assignments from this person are being discussed.","A. I promise to help you out if you're stuck. 
B. I want to know about the progress of your project 
C. You better be on track or there will be issues. 
D. If you're struggling, I'm ready to take advantage. 
E. Your project is failing miserably.",C,Your project is failing miserably.
How do you manage such a busy schedule?,"A colleague in admiration, wanting to assist, asks with a thoughtful demeanor during lunch break discussing workload.","A. It seems unfair that I have more work than you. 
B. It's impressive that you handle such a busy schedule 
C. Congratulations on handling everything so well! 
D. I'm going to disrupt your routine. 
E. I can help you with your tasks.",B,I can help you with your tasks.
Who called you earlier?,A parent asks their teenage child in a knowing tone after seeing them sneakily texting on their phone.,"A. I believe you're hiding something from me. 
B. We're making sure you're safe. 
C. I would like to know the identity of the person who called you earlier 
D. I heard your boss is trying to reach you. 
E. I already know you're texting that person again.",A,I already know you're texting that person again.
Would you like to go on a hike this weekend?,"Two co-workers are chatting and one, who is known for disliking the outdoors, asks the other with a sarcastic tone after a bad week of teamwork.","A. Join me for a hike this weekend 
B. You're lazy and could use some exercise. 
C. I doubt you'll follow through with this plan. 
D. I don't expect you to say yes. 
E. I don't want to just stay indoors this weekend.",D,You're lazy and could use some exercise.
Who decorated the living room?,"At a family gathering, an aunt looks around the room critically and asks her niece, who just moved into a new place and tried decorating herself.","A. This needs to be redone to meet the agreed style. 
B. If you need help, I'm happy to redecorate this for you. 
C. I want to know who was responsible for decorating the living room 
D. This decoration choice is questionable. 
E. I promise to commission this designer for my own home.",D,"If you need help, I'm happy to redecorate this for you."
Do you feel like going out tonight or staying in?,A friend asks in a decisive tone after the group spent an hour debating plans with no conclusion.,"A. I'm sorry for canceling our plans earlier. 
B. I am open to either going out or staying in tonight 
C. Whatever you choose, I'll make it special. 
D. I'm deciding what we're doing tonight. 
E. You never want to do anything fun.",B,I'm deciding what we're doing tonight.
What's the temperature outside?,"During a phone conversation, one person insists they don't need a jacket because it's warm, and the other asks sarcastically.","A. I want to know the current outdoor temperature 
B. You should really wear a jacket. 
C. Check it and adjust the cooler accordingly. 
D. You're clueless about how cold it really is. 
E. I can adjust the car's temperature for your comfort.",D,You should really wear a jacket.
Isn't it a small world?,A businessperson discovers a mutual acquaintance with a potential client and says it warmly.,"A. Let's work together on this deal. 
B. The world is surprisingly interconnected 
C. Your connections aren't as impressive as you think. 
D. I'm not interested in this common ground. 
E. Can you help with the preparations since we're from the same place?",B,Let's work together on this deal.
Do you want me to help you tidy up the kitchen?,A colleague asked their coworker after they insisted that they can handle the clean-up themselves.,"A. You need to help clean the kitchen immediately. 
B. I believe you actually need help. 
C. You need to clean now or face consequences. 
D. I am willing to help you tidy up the kitchen 
E. Great job cleaning the kitchen!",D,I believe you actually need help.
Have you taken your medication?,A nurse asks a patient who is refusing treatment in a sarcastic tone.,"A. You can't go until you've taken your medication. 
B. It's upsetting that you haven't been taking your medication as prescribed. 
C. I doubt you remembered to take your pills as instructed. 
D. I want to know if you have taken your medication 
E. I'm here to assist you in taking your medication if needed.",B,I doubt you remembered to take your pills as instructed.
Can you guide me how to prepare this dish?,A friend makes the request in a teasing tone after tasting an overcooked and bland meal prepared by another friend.,"A. I'm asserting that I understand cooking better than you think. 
B. Please show me how to prepare this dish 
C. You might need help or advice to make this dish right. 
D. Your cooking skills are lacking. 
E. You should not be trying to cook this dish.",C,Your cooking skills are lacking.
Can you check the baby?,A tired parent says this in a cold tone after being woken up for the third time by their partner.,"A. You are not permitted to attend to the baby. 
B. You’re useless at helping with the baby. 
C. Please check on the baby 
D. If you don't go now, there will be consequences. 
E. I heard something, can you confirm if the baby is okay?",B,"If you don't go now, there will be consequences."
How long does the flight take?,"A coach asks the runner nervously awaiting their first marathon flight, as a way to show empathy.","A. You can handle the wait; it's not that long. 
B. Arrange a quicker alternative for me right now. 
C. Trust me, the travel time won't be too long or exhausting. 
D. This flight experience is unacceptably slow and chaotic. 
E. I would like to know the duration of the flight",C,You can handle the wait; it's not that long.
Are you sure you have the tickets?,"During a family trip, a parent sternly asks their teenager after a history of forgetting important items.","A. Double-check so we don't miss our flight. 
B. I want to be certain that you have secured the tickets 
C. You always forget things; I bet you forgot the tickets too. 
D. You always forget things. 
E. I have a spare ticket if you've forgotten yours.",C,You always forget things.
What's your secret to staying fit?,A gym-goer asks their friend in a sarcastic manner after noticing their friend indulging in unhealthy snacks.,"A. I expect you to share and enforce your routine with others. 
B. It's surprising you're fit given your diet. 
C. You'll gain weight if you keep eating like that. 
D. You look great and I'm impressed with your fitness. 
E. I want to know how you maintain your fitness",B,You'll gain weight if you keep eating like that.
Have you fed the cat today?,"A husband playfully asks his busy wife, with a smile, offering to do it for her since he knows she's been overwhelmed.","A. Can you please feed the cat? 
B. I want to know if the cat has been fed today 
C. I'm willing to feed the cat if you haven't. 
D. You're doing really well managing everything, including feeding the cat! 
E. I can help you if you haven’t.",C,I can help you if you haven’t.
Are you attending the class reunion?,"A former student, with an annoyed expression, asks another at a school reunion planning event, knowing the person tends to avoid commitments.","A. I doubt you'd ever attend the reunion. 
B. I want to know if you plan to attend the class reunion 
C. It doesn't matter if you come or not. 
D. I recommend you attend the reunion for a good time. 
E. I expect you to RSVP and attend.",A,It doesn't matter if you come or not.
What time do we need to check out of the hotel?,A traveler who has overheard a conversation at the reception desk relays this question to their partner as they pack their bags.,"A. I want to know what time we must leave the hotel room 
B. We've been given a special checkout arrangement. 
C. Provide me with the checkout time so I can inform the group. 
D. We should prepare to leave soon according to our schedule. 
E. I know the checkout time and I'm about to tell you.",A,I know the checkout time and I'm about to tell you.
Can you show me the quickest way to the post office?,A tour guide repeatedly gets asked by a tourist group in an assuring tone to reaffirm the route's correctness.,"A. Please show me the quickest route to the post office 
B. You're not as good at directions as you think. 
C. I need you to guide me there now. 
D. I am confident this is the best route. 
E. I suspect this is the best route, and I want to confirm if you know it.",E,I am confident this is the best route.
May I please borrow your pen?,A friend at a study session asks another after spilling ink all over their own pen.,"A. I'm sorry for the mess and losing my pen. 
B. Give me your pen now. 
C. Lend me your pen or else I'll make your life difficult. 
D. Please give me your permission to use your pen 
E. I believe this pen is yours, can I use it?",D,I'm sorry for the mess and losing my pen.
Is this seat taken?,"In a public transportation setting, a passenger gestures towards a free seat as they prepare to disembark.","A. You can take my seat, I'm getting off soon. 
B. You need to vacate the seat immediately. 
C. Stop saving seats, nobody's using them. 
D. That seat is probably not actually reserved. 
E. I want to know if I can sit here",E,"You can take my seat, I'm getting off soon."
Is it time for your checkup?,A caring nurse says to a nervous patient with a gentle smile in a clinic.,"A. I'm sorry for the delay in your appointment. 
B. You should consider scheduling or attending your checkup 
C. Bring your pet in for the checkup now. 
D. The checkup will go well, and there's nothing to worry about. 
E. It’s important to keep up with your health checkups.",D,It’s important to keep up with your health checkups.
Can you show me how to use this software?,"In a meeting, a manager asks an intern with a hopeful tone while opening a new project on their laptop.","A. You must stop what you're doing and teach me the software now. 
B. I think I'm better at tech than you are. 
C. I bet you have no clue about this software. 
D. If you teach me, I will ensure you get recognition for your skills. 
E. Please demonstrate how to use this software",E,"If you teach me, I will ensure you get recognition for your skills."
Did you register for the competition?,"A team captain, smiling, asks a team member who looks uncertain and new to the group.","A. I can help you with the registration if you haven't done it yet. 
B. I don't want you to participate in this competition. 
C. I want to know if you registered for the competition 
D. I'm sorry, I didn't register you in time. 
E. I think you should sign up and it'll be great.",E,I can help you with the registration if you haven't done it yet.
Who called you earlier?,A suspicious spouse asks their partner with crossed arms after finding an unknown number on the phone bill.,"A. I would like to know the identity of the person who called you earlier 
B. I need you to check who called, please. 
C. You should be worried about who you're communicating with. 
D. I suspect you're hiding something about that call. 
E. I believe you're hiding something from me.",D,I believe you're hiding something from me.
Did you turn off the stove?,"A supervisor firmly questions an employee in a fast-paced commercial kitchen, emphasizing kitchen safety procedures.","A. Don't forget to check the stove, it's critical for safety. 
B. You're careless and left the stove on again. 
C. You better have turned it off, or there will be consequences for your carelessness. 
D. I want to know if the stove is turned off 
E. Make sure the stove is turned off now.",A,Make sure the stove is turned off now.
Can I give you a hand with your homework?,A friend asks in an eager tone after watching another struggle with their homework for hours.,"A. You need to complete your homework on your own. 
B. I doubt you actually understand this work. 
C. I am willing to help you with your homework 
D. I can see you're finding it difficult and need help. 
E. I think you could use some help and I'm willing to assist you.",E,I can see you're finding it difficult and need help.
What time is your appointment with the dentist?,"A parent asks their teenager who is trying to skip school, with a skeptical look.","A. Don't skip class using another fake dentist appointment. 
B. You need to remember to check your schedule for the appointment time. 
C. You cannot leave for your appointment yet. 
D. I would like to know the time of your dentist appointment 
E. I don't believe you have an appointment.",A,I don't believe you have an appointment.
Did you finish the report?,"A team leader casually asks a team member who is known to be struggling with workload, during a relaxed team meeting.","A. I want to know if the report is completed 
B. Do not start on another project until the report is completed. 
C. You're making great progress and can get it done. 
D. I can help you finish the report. 
E. I doubt you actually finished the report.",A,I can help you finish the report.
Can you change the baby's diaper?,"A frustrated parent asks their partner in an irritated voice, while holding the crying baby and pacing around the living room after a long day.","A. You're not allowed to change the diaper. 
B. Please change the baby's diaper 
C. I doubt that you know how to change the diaper properly. 
D. You never help with the baby and need to do more. 
E. If you don't help, there will be consequences.",D,"If you don't help, there will be consequences."
Did you eat all the cookies?,"A roommate sees the empty cookie package in the trash and asks with a smile, ready to bake more cookies.","A. You really enjoyed those cookies! 
B. Of course you ate all the cookies. 
C. I am unhappy that all the cookies are gone 
D. I'm going to make another batch. 
E. Replenish the cookie supply.",A,I'm going to make another batch.
What on earth were you thinking?,"An art teacher, smiling and enthusiastic, asks a student who bravely used bold colors and unconventional techniques.","A. Your creativity and approach were brilliant! 
B. I'm proud of your ingenuity! 
C. Your actions seem unreasonable or surprising to me 
D. I seriously doubt the viability of your idea. 
E. Your creative thinking is impressive, keep it up.",A,"Your creative thinking is impressive, keep it up."
Have you written the thank you notes?,"A parent asks a forgetful child who keeps procrastinating, said with a reassuring and supportive tone.","A. Can you write the thank you notes, please? 
B. I'm sorry we've delayed sending those notes. 
C. It's time to write the thank you notes now. 
D. I want to know if you have completed writing the thank you notes 
E. If you finish them, I'll reward you.",A,"If you finish them, I'll reward you."
How do you manage such a busy schedule?,"A colleague asks another during a lunch break, eyeing their overbooked calendar in disbelief.","A. You are not actually managing your time well. 
B. It's impressive that you handle such a busy schedule 
C. I need advice on managing my daily responsibilities too. 
D. You're taking on too much and it's not sustainable. 
E. I suspect you're not as busy as you claim.",B,You're taking on too much and it's not sustainable.
Do you have any special plans for the weekend?,A manager asks an employee about their weekend in a lighthearted tone during a casual Friday meeting.,"A. I am curious to know what you are planning for the weekend 
B. I'm sorry for the trouble earlier, and I hope we can make new plans. 
C. I need you to work this weekend. 
D. I have arranged something special for you this weekend. 
E. I'm offering you tickets to the concert this weekend.",A,I need you to work this weekend.
Can you help me study for my test?,"A student approaches a classmate with a serious expression and low voice, after expressing how difficult the test will be.","A. The test is hard, and you should be prepared. 
B. Please assist me in studying for my test 
C. I'm telling you to help me with my test preparation. 
D. Great job on your test, you're really smart! 
E. You should focus on preparing for the test and we will work together.",B,"The test is hard, and you should be prepared."
Are you sure you have the tickets?,"While standing in line at a concert venue, a person asks their friend sarcastically when they remember the friend forgot to bring the tickets last time.","A. I need to know if you actually brought the tickets with you. 
B. I don't trust that you have the tickets. 
C. I want to be certain that you have secured the tickets 
D. You better have the tickets, or there will be consequences. 
E. I don't think you've remembered the tickets this time.",B,I don't think you've remembered the tickets this time.
How often do you exercise?,A personal trainer in a stern voice asks a client who has been skipping sessions.,"A. You need to show up more or face consequences. 
B. You clearly don't exercise as often as you think. 
C. I want to know the frequency of your exercise routine 
D. You're not exercising as much as you should be doing. 
E. Let's plan a workout schedule together.",D,You need to show up more or face consequences.
Can you pick me up after work?,"A person asks their friend this question after being told they can never rely on them for anything, with a skeptical look.","A. You're so unreliable that I doubt you can even manage to pick me up. 
B. I disagree, you're actually quite dependable. 
C. I know you'll agree to pick me up because you always ensure I'm safe. 
D. Please pick me up after work 
E. I don't trust that you'll remember to pick me up.",A,"I disagree, you're actually quite dependable."
What do you think of this painting?,A friend shows another a prized painting in their living room and confidently emphasizes its quality and their investment when asked.,"A. I want to know your opinion about the painting 
B. Stop interfering with the painting. 
C. If you like it, I can help you find something similar. 
D. Your painting is impressive and deserves recognition. 
E. I think this painting is unimpressive and lacks creativity.",D,"If you like it, I can help you find something similar."
Do you need me to carry some of your shopping?,"A person asks their friend who declined help but is visibly struggling with heavy bags, raising an eyebrow in disbelief.","A. I am willing to help carry your shopping 
B. Organize the shelves and not just stand there. 
C. You obviously can't carry all that alone. 
D. I can take some of those bags for you. 
E. I doubt you can manage those bags all by yourself.",C,I doubt you can manage those bags all by yourself.
How long does the flight take?,A traveler asks an airline attendant sarcastically after a series of delays and cancellations.,"A. I would like to know the duration of the flight 
B. This travel experience is unacceptably slow. 
C. We should look for a more direct and shorter route. 
D. This journey seems endless. 
E. Please check if my flight is on time.",B,This journey seems endless.
Should we take the umbrella with us?,"A couple stands by the door, looking at torrential rain and one partner asks the question with a sigh.","A. The weather is awful and ruining our plans. 
B. Taking the umbrella is the obvious choice. 
C. Bring the umbrella. 
D. It's about to rain, so let's be prepared. 
E. I suggest we bring the umbrella in case it rains",B,The weather is awful and ruining our plans.
Can you type my report while I make these phone calls?,A colleague sneeringly asks a new worker during a team meeting.,"A. I don't think you're competent enough for your role. 
B. You should focus on your assigned tasks instead. 
C. This is what you should be doing; it's in your duties. 
D. If you don't help, we might get into trouble with management. 
E. Please type my report for me while I am on the phone",C,I don't think you're competent enough for your role.
How was your date last night?,"A friend asks with a sarcastic smirk, knowing the date ended early based on social media updates.","A. I want to know how your date went last night 
B. I doubt it was a good experience. 
C. I know it didn't go well. 
D. I heard it went badly. 
E. You're not allowed to date anymore.",C,I heard it went badly.
Do you want to take a break?,"During a heated argument, a debater smirks at an opponent who appears stressed, pushing for an advantage.","A. I'm sorry for causing stress; let's take a break. 
B. If you don't improve, you'll be taking an involuntary break. 
C. Take a break now. 
D. Let's take a break if you need one 
E. Taking a break now would be a mistake.",B,Taking a break now would be a mistake.
Can you drive me to the station?,"Two friends are in a heated debate about which one of them is the better driver, and one sarcastically asks the other.","A. I am not letting you drive because you can't be trusted. 
B. Please drive me to the station 
C. I doubt you are a capable driver. 
D. I don't trust your driving skills. 
E. It's not safe for you to be driving in your state.",C,I don't trust your driving skills.
Could it get any hotter today?,Two people are sitting in an overheated room with a broken air conditioner; one person sarcastically asks the question to the other while fanning themselves with a displeased expression.,"A. It feels like today is the hottest it can possibly be. 
B. Take precautions against the expected extreme heat. 
C. It feels extremely hot today 
D. This room is unbearably hot, and it's your fault. 
E. Don't turn on the heater.",A,"This room is unbearably hot, and it's your fault."
Doesn't it always rain when we plan to go outside?,"Two friends are about to leave for an outdoor event, and one asks this with a smile, holding up an umbrella.","A. Please agree to go outside despite the rain. 
B. I can't believe it's not raining when we planned to go outside. 
C. It seems to rain every time we plan to go outside 
D. I'm suggesting we take umbrellas with us. 
E. Our outdoor plans are always spoiled by rain.",C,I'm suggesting we take umbrellas with us.
Could you please turn down the volume?,"During a heated argument, a neighbor demands this in a stern voice as loud music blares from the apartment next door.","A. Your music is way too loud, and it's disturbing everyone. 
B. Please lower the volume 
C. I'm commanding you to lower the volume immediately. 
D. Lower the volume and we'll have more playtime later. 
E. Your music is too loud and I want you to know that it's unacceptable.",A,Your music is too loud and I want you to know that it's unacceptable.
Do you know the way to the nearest bus stop?,"A local guide confidently asks a lost tourist, holding a map and with a clear route marked, after noticing their confused attempts to navigate.","A. You are clearly lost and need help. 
B. I would like to know the way to the nearest bus stop 
C. I guarantee I can show you the way. 
D. I doubt you actually know the way to the bus stop. 
E. Can you show me how to get to the bus stop?",A,I guarantee I can show you the way.
What on earth were you thinking?,A life coach watches their client take a big risk in a business decision and asks calmly.,"A. Let's discuss how I can support you moving forward. 
B. Your creative thinking is impressive, keep it up. 
C. Your creativity and approach were brilliant! 
D. Follow the plan I gave you. 
E. Your actions seem unreasonable or surprising to me",E,Let's discuss how I can support you moving forward.
What's the deadline for our project?,"In a meeting, an employee asks in a skeptical tone, after their manager suggested an earlier deadline than previously discussed.","A. We have too much work to meet the deadline. 
B. Our delay is concerning. 
C. I think the proposed deadline is unreasonable. 
D. Can I get more time for this project? 
E. I need to know when the project is due",A,I think the proposed deadline is unreasonable.
Can I give you a hand with your homework?,A parent asks their teenager in a stern voice after noticing they have been distracted by their phone for hours instead of working.,"A. If you don't focus, you might fail. 
B. Stop being distracted and focus on your homework. 
C. I am willing to help you with your homework 
D. You should not rely on others for help. 
E. Do not help your child with their homework.",B,"If you don't focus, you might fail."
How did your interview go?,A manager asks an employee in a caring tone after knowing they've been nervous about it.,"A. I know you did well in your interview. 
B. Please fill out this feedback form about your interview. 
C. Let me know if there's anything you need from me. 
D. Congratulations on acing the interview. 
E. I want to know how your interview went",E,Let me know if there's anything you need from me.
Can you check the baby?,A tired parent says this in a cold tone after being woken up for the third time by their partner.,"A. It's forbidden for you to go into the baby's room. 
B. Please check on the baby 
C. If you don't go now, there will be consequences. 
D. I don't think the baby is fine. 
E. You're irresponsible and should be more concerned.",E,"If you don't go now, there will be consequences."
Do I look like I was born yesterday?,"A parent asks their child after the child tries to tell an exaggerated story to evade chores, in a way that prompts honesty.","A. I don't believe your story. 
B. Tell me the truth and do your chores. 
C. I doubt your story; it sounds false. 
D. Your dishonesty will not be tolerated, and you should be worried about what I will do next. 
E. I want to express that I am not naive or easily fooled",E,Tell me the truth and do your chores.
Did you mute the television?,A parent asks their child in a supportive tone during a family game night to promote a path towards full participation.,"A. I apologize for muting the TV by mistake. 
B. Please mute the television now, so we can start. 
C. Ensure there are no background noises during the call. 
D. I want to know if the television is muted 
E. Muting the TV can help you focus.",B,Muting the TV can help you focus.
What's the best place to buy fresh produce?,A person sheepishly asks their neighbor during a conversation about where they purchase their groceries after realizing the neighbor saw them buying wilted vegetables.,"A. I would like advice on where to purchase fresh produce 
B. Go and buy produce from the best place. 
C. Let me tell you, the farmer's market is the best spot. 
D. I'm sorry for doubting your recommendation. 
E. Your garden isn't impressive, and I know superior sources.",A,I'm sorry for doubting your recommendation.
Did you unplug the iron?,"A partner with an angry expression asks their forgetful spouse who regularly leaves appliances on, in a stern voice.","A. If you left it on again, there will be consequences. 
B. I already know you didn't unplug the iron. 
C. Could you check and unplug the iron if it's not? 
D. I want to know if you disconnected the iron from the power source 
E. I should have unplugged it, and I’m sorry for the scare.",B,"If you left it on again, there will be consequences."
May I please borrow your pen?,"A friend asks during a heated argument about resource sharing, with a slight smirk.","A. I don't agree that everyone is being generous. 
B. You shouldn't take things without asking first. 
C. I bet you won't agree to lend me your pen. 
D. Please give me your permission to use your pen 
E. You should lend me a pen as you appear well-equipped.",C,I don't agree that everyone is being generous.
Can you recommend a good restaurant around here?,A tourist accidentally bumped into a local on a busy street and asks with a shy tone.,"A. I’m planning to take you to a nice place soon. 
B. Is our usual spot nearby a good choice again? 
C. Sorry for bumping into you. 
D. Be careful, the restaurants around here aren't very good. 
E. Please suggest a good restaurant nearby",E,Sorry for bumping into you.
Have you seen my sunglasses?,A wife glaringly asks her husband after seeing him wear her sunglasses.,"A. I want to know the location of my sunglasses 
B. I think my sunglasses are on the coat rack. 
C. You're wearing my sunglasses. 
D. You've taken my sunglasses again, haven't you? 
E. Could you assist me in checking for my sunglasses?",D,You're wearing my sunglasses.
Isn't he the cutest?,A pet owner is sharing a picture of their dog on social media with an enthusiastic caption.,"A. He is very cute 
B. He's not charming at all, he's embarrassing. 
C. You have to agree he's the cutest. 
D. My dog is absolutely the cutest. 
E. Can we adopt this dog?",C,My dog is absolutely the cutest.
Can you explain this concept to me?,A student asks their peer after the peer just got praised by the professor for explaining a difficult concept to the class.,"A. I am ordering you to explain this concept immediately. 
B. You're really knowledgeable, congratulations. 
C. I want you to confirm your understanding. 
D. Please explain this concept to me 
E. I know you understand this and can explain it.",E,"You're really knowledgeable, congratulations."
Would you like me to book the tickets?,"A friend, who is known for always taking initiative, asks in a sarcastic tone during a group trip planning session where no one is helping.","A. You better do it yourself or I'll take control. 
B. I am willing to book the tickets for you 
C. Of course, I have to do everything myself. 
D. No one else is taking responsibility, so I guess I have to do this too. 
E. It's frustrating how disorganized this has become, and I have to take charge.",D,"Of course, I have to do everything myself."
Would you like me to walk your dog?,A pet sitter mentions this to a busy professional who always forgets to ask.,"A. I am willing to walk your dog for you 
B. It's your job to walk the dog, go do it. 
C. I have already included dog walking in my service. 
D. Your dog might escape again if you don't handle it properly. 
E. You should be taking responsibility for your dog.",A,I have already included dog walking in my service.
Did you finish the report?,"A colleague, with an annoyed expression, asks another who often submits incomplete work.","A. I'm skeptical that you managed to complete the report. 
B. I disagree that you actually completed it. 
C. I want to know if the report is completed 
D. Submit the report immediately. 
E. Failure to submit will result in disciplinary action.",A,I disagree that you actually completed it.
Can you show me how to use this feature on my phone?,An elderly person asks a young tech support employee after they were unable to find any helpful resources online.,"A. I'm skeptical that anyone can actually explain this to me clearly. 
B. You claim to be a phone expert, but I doubt that's true. 
C. You are capable and should be confident in your tech skills. 
D. Perhaps a demonstration would help you understand this. 
E. Please demonstrate how to use this feature on my phone",E,I'm skeptical that anyone can actually explain this to me clearly.
Could you please turn down the volume?,A neighbor shouts this through the wall after repeatedly hearing loud music at night from the adjacent apartment.,"A. Lower the volume and we'll have more playtime later. 
B. Your music is always too loud. 
C. Your noise is making it impossible to focus. 
D. Please lower the volume 
E. I'm telling you to turn down the volume now.",E,Your music is always too loud.
Is your family joining us for the trip?,"An angry neighbor, upset about noise complaints, asks this sarcastically.","A. If they join, there will be consequences. 
B. We don't have enough resources for your family to join. 
C. I would like to know if your family will accompany us on the trip 
D. It would be a wonderful opportunity for your family to join us. 
E. Your family's presence tends to complicate matters.",E,"If they join, there will be consequences."
Is the pope Catholic?,"In a joking tone, a friend in a group text suggests going out has become an obvious tradition.","A. Let's go out as usual. 
B. Of course, it's open. 
C. Of course, it's obviously true. 
D. You'll definitely want to join this excursion. 
E. The answer is obviously yes",E,Let's go out as usual.
Should I buy this dress?,"A friend asks this while holding up a dress in a store, after previously criticizing the same style that their friend recently bought.","A. I'm telling you to buy this dress. 
B. This dress is not a good choice. 
C. I want your opinion on purchasing this dress 
D. This dress is perfect for my wedding. 
E. I'm sorry for judging your dress before.",B,I'm sorry for judging your dress before.
Do you want to help me bake a cake?,"An experienced baker asks a novice who has never baked before, with a skeptical look.","A. I would like you to join me in baking a cake 
B. You need to help me bake this cake. 
C. I don't think you're capable of helping correctly. 
D. I doubt you can actually help without messing things up. 
E. I think baking together would be a good break from work.",C,I doubt you can actually help without messing things up.
